0	13.22677042
0.2	14.77370107
0.4	11.96878715
0.6	7.859941492
0.8	10.59412078
1	9.015758503
1.2	8.199890124
1.4	7.753622674
1.6	5.952466567
1.8	6.60639135
2	5.231169412
2.2	5.638074944
2.4	6.186541145
2.6	5.900679378
2.8	4.736687174
3	4.494777041
3.2	4.51537644
3.4	5.028564411
3.6	6.355262442
3.8	4.728180103
4	2.626652275
4.2	4.124031429
4.4	2.180934649
4.6	-1.12947435
4.8	-2.486478458
5	-1.427190598
5.2	1.333745478
5.4	0.39274837
5.6	0.031679241
5.8	1.409314347
6	-0.117962857
6.2	-0.173030066
6.4	2.211250182
6.6	2.476669941
6.8	5.721168716
7	1.404814833
7.2	0.884639708
7.4	-0.396267925
7.6	0.361575198
7.8	0.666937445
8	-2.711550081
8.2	0.333284753
8.4	2.411083771
8.6	-0.149528618
8.8	2.076466752
9	3.182880878
9.2	3.482280227
9.4	3.025683596
9.6	-2.887680703
9.8	0.679246618
10	3.80298287
10.2	2.997351063
10.4	2.441708847
10.6	3.545837256
10.8	5.18814544
11	3.507541482
11.2	1.970745687
11.4	3.431673806
11.6	3.696420828
11.8	6.241490576
12	5.624615404
12.2	6.263039374
12.4	5.847670087
12.6	5.227465689
12.8	6.49028259
13	7.233411101
13.2	4.451755174
13.4	8.069740746
13.6	10.04716844
13.8	8.467644129
14	12.34479576
14.2	10.84898123
14.4	9.431310789
14.6	10.52410922
14.8	10.85760281
15	12.48224091
15.2	14.11737279
15.4	12.6481802
15.6	14.78889076
15.8	18.03857726
16	17.06298118
16.2	17.53852888
16.4	14.96238573
16.6	16.24359164
16.8	18.53310332
17	18.5987041
17.2	16.3179031
17.4	17.3231537
17.6	23.20437879
17.8	20.45174505
18	26.95668958
18.2	19.20402679
18.4	25.40952728
18.6	25.39325223
18.8	24.77552138
19	28.00864965
19.2	26.54029425
19.4	30.79156639
19.6	30.16573842
19.8	27.72922521
20	27.15050017
